Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Periodes_regroupees,Covid19_mesures_specifiques,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI,Telephone_Final
Les Caudalies,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,46.9076497,5.76996803,20 avenue Pasteur,39600#Arbois,,,OFFICE DE TOURISME ARBOIS-POLIGNY-SALINS CŒUR DU JURA,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2026-01-01,#https://www.facebook.com/people/Les-Caudalies/100052680983001/<>https://www.lescaudalies.fr/fr/,Vignobles & Découvertes#Label Vignobles & Découvertes|3 étoiles#Classement officiel des hébergements touristiques,"Le lieu idéal si vous aimez le mélange entre authenticité et contemporain. L'ensemble est chic, confortable et accueillant. Une très belle adresse.",https://data.datatourisme.fr/6/aca3c1bc-24a3-3033-a86e-d3369bcff33c,05 26 80 98 30
Annexe du 11 D,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#AccommodationProduct|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Product,47.2328954,6.0295475,"""Côté Patio"" 11 rue du Chapître",25000#Besançon,,,OFFICE DE TOURISME ET DES CONGRES DU GRAND BESANCON,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2025-12-29,#https://www.lannexe-apparthotel.com/<>https://www.facebook.com/LAnnexe-Appart-H%C3%B4tel-Besan%C3%A7on-2176208502422040/<>https://www.instagram.com/lannexe_appart_hotel/,3 étoiles#Classement officiel des hébergements touristiques,"Appartement aménagé dans un Hôtel particulier du 18ème S situé entre la cathédrale Saint-Jean et la citadelle Vauban, près des restaurants et musées",https://data.datatourisme.fr/6/7dca4d5d-6f87-32f5-b6b3-4064eeb73e8f,08 50 24 22 04
Chalets des Chemins Verts - Gîte Peter,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#AccommodationProduct|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Product,46.803181,5.935983,Rue du Clos Devant,39300#Le Latet,,,MAISON DU TOURISME CHAMPAGNOLE NOZEROY JURA,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2026-02-16,#https://locationchaletjura.com/<>https://www.facebook.com/profile.php?id=100063693924683,4 étoiles#Classement officiel des hébergements touristiques|Bienvenue à la ferme#Bienvenue à la ferme,"Réservez pour vos vacances ou week-end votre location de vacances à la ferme dans le jura .
Nos chalets de 8 personnes vous accueillent.",https://data.datatourisme.fr/6/576ef043-9194-3eda-ac26-823d27a00d47,06 36 93 92 46
Hôtel Ibis,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,47.63017,6.13901,8 Rue du Dr Jean Georges Girard,70000#Vesoul,,,MAISON DU TOURISME DE VESOUL,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2025-03-29,#http://www.ibishotel.com/<>https://www.facebook.com/profile.php?id=100092558631164,3 étoiles#Classement officiel des hébergements touristiques,"Chambre climatisées, parking, restaurants, bar, terrasse, espace coworking, wifi.",https://data.datatourisme.fr/6/5a820f56-68c9-30ed-a055-c486f62331b4,09 25 58 63 11
Annexe du 11 C,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#AccommodationProduct|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Product,47.2329145,6.02956359,"""Côté Rue"" 11 rue du Chapitre",25000#Besançon,,,OFFICE DE TOURISME ET DES CONGRES DU GRAND BESANCON,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2025-12-29,#https://www.lannexe-apparthotel.com/<>https://www.facebook.com/LAnnexe-Appart-H%C3%B4tel-Besan%C3%A7on-2176208502422040/<>https://www.instagram.com/lannexe_appart_hotel/,3 étoiles#Classement officiel des hébergements touristiques,"Studio de caractère au cœur du quartier historique, culturel  et commerçant, ancienne maison de chanoines qui conjugue charme et sérénité.",https://data.datatourisme.fr/6/d98d8959-1172-3a3e-a1de-a257a01278ef,08 50 24 22 04
Hostellerie de Bretonnière,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,47.0206713,4.8317461,"43, rue du Faubourg Bretonnière",21200#Beaune,,,La Côte-d'Or J'adore,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2026-01-01,#http://www.hotelbretonniere.com/<>https://fr-fr.facebook.com/Hostellerie-de-La-Bretonni%C3%A8re-208315462527827/<>https://www.instagram.com/hostelleriedebretonniere/?hl=fr<>https://premium.logishotels.com/fo/booking/233/14280/availability?specialMode=default&begindate=29%2F02%2F2024&tmonth=3&tyear=2024&hotelid=14280&numnight=1&m=booking&langcode=FR&enddate=01%2F03%2F2024&fyear=2024&custid=233&fmonth=02&_ga=GA1.3.1691007208.1709213698&fday=29&tday=1,Accueil Vélo#France Vélo Tourisme|Vignobles & Découvertes#Label Vignobles & Découvertes|3 étoiles#Classement officiel des hébergements touristiques,"L'hostellerie de Bretonnière, à 5 minutes à pied du cœur historique propose tous les services d'un hôtel moderne dans un cadre calme et confortable.",https://data.datatourisme.fr/6/1e0ca722-ec35-3e53-877d-c497aa2aa5ed,08 31 54 62 52
Camping Sous-Doriat,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,46.72137,5.7987,34 rue Marcel Hugon,39300#Monnet-la-Ville,,,MAISON DU TOURISME CHAMPAGNOLE NOZEROY JURA,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2026-02-13,#http://www.camping-sous-doriat.com/<>https://www.facebook.com/Camping-sous-doriat-388026984581672/?rf=479948742018140,Qualité Tourisme#Qualité Tourisme|3 étoiles#Classement officiel des hébergements touristiques,"Camping avec piscine couverte, à 5 kms du lac de Chalain, location de mobil-home, séjour camping, et accueil camping car.",https://data.datatourisme.fr/6/18e34a2d-eb8f-3fac-9ef7-1a29330533f3,02 69 84 58 16
Campanile Besançon Ouest Chateaufarine,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,47.216117,5.943839,4 rue Louis Aragon,25000#Besançon,,,OFFICE DE TOURISME ET DES CONGRES DU GRAND BESANCON,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2024-12-31,#https://besancon-ouest-chateaufarine.campanile.com/fr-fr/<>https://www.facebook.com/Campanile-Besan%C3%A7on-Chateaufarine-1707430366175611/,3 étoiles#Classement officiel des hébergements touristiques,"L'hôtel-restaurant Campanile Besançon Ouest Châteaufarine est accessible depuis l’A36, se trouve à 9 km du centre et de la gare. Une situation idéale!",https://data.datatourisme.fr/6/87cfdb97-a4a2-3dc8-a2c7-cf856569f2b8,07 43 03 66 17
Chalets des Chemins Verts - Gîte Manon,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#AccommodationProduct|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Product,46.803181,5.935983,Rue Clos Devant,39300#Le Latet,,,MAISON DU TOURISME CHAMPAGNOLE NOZEROY JURA,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2026-02-16,#https://locationchaletjura.com/<>https://www.facebook.com/profile.php?id=100063693924683,4 étoiles#Classement officiel des hébergements touristiques|Bienvenue à la ferme#Bienvenue à la ferme,"Réservez pour vos vacances ou week-end votre location de vacances à la ferme dans le Jura 
Nos chalets de 8 personnes vous accueillent.",https://data.datatourisme.fr/6/82375a01-cd21-3d2f-af1d-c751733f74b4,06 36 93 92 46
Annexe du 8,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#AccommodationProduct|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Product,47.2571905,6.0173026,8 rue Andrey,25000#Besançon,,,OFFICE DE TOURISME ET DES CONGRES DU GRAND BESANCON,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2025-12-29,#https://www.lannexe-apparthotel.com/<>https://www.facebook.com/LAnnexe-Appart-H%C3%B4tel-Besan%C3%A7on-2176208502422040/<>https://www.instagram.com/lannexe_appart_hotel/,3 étoiles#Classement officiel des hébergements touristiques,"La campagne en ville ! Entre le centre historique, culturel et le centre d’affaires Témis et Micropolis, un séjour de charme.",https://data.datatourisme.fr/6/46f5c9c9-12bf-38eb-813c-c2380ad54587,08 50 24 22 04
Hôtel-restaurant Le Grand Monarque,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,47.3696213,3.12607097,10 Rue de l'Etape,58220#Donzy,,,Nièvre Attractive,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2026-02-11,#http://www.legrandmonarque-donzy.fr/<>https://www.facebook.com/profile.php?id=100086646463335,3 étoiles#Classement officiel des hébergements touristiques,"L'équipe de l’hôtel-restaurant Le Grand Monarque vous accueille dans un ancien relais de diligences, devenu un charmant hôtel, situé au coeur de Donzy",https://data.datatourisme.fr/6/df9eb7ea-36d3-3d1f-8a3a-6d9392b884e2,08 66 46 46 33
Domaine du Cheval Blanc,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,46.6559376,4.6836488,17 Grande Rue,71390#Saint-Boil,,,Mission Tourisme - Département 71,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2025-11-20,#https://www.logishotels.com/fr/hotel/logis-hotel-restaurant-du-cheval-blanc-1096<>https://www.facebook.com/Hotel-Restaurant-du-cheval-blanc-St-Boil-100417267974556/<>https://www.domainechevalblanc.fr/,3 étoiles#Classement officiel des hébergements touristiques|Hôtel Cosy#Logis,"Situé au cœur de la Bourgogne, cette résidence de charme est une demeure de fin de siècle où règne une atmosphère paisible.",https://data.datatourisme.fr/6/4ffd9b3e-f5a9-31d4-9b86-34927ab617c3,04 17 26 79 74
Grand Hôtel des Bains,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,46.9395592,5.8770756,2 Place des Alliés,39110#Salins-les-Bains,,,OFFICE DE TOURISME ARBOIS-POLIGNY-SALINS CŒUR DU JURA,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2026-01-30,#https://www.facebook.com/Grand-H%C3%B4tel-des-Bains-JURA-730531756971868/<>https://www.instagram.com/grandhoteldesbainsjura/?hl=fr<>https://www.hotel-des-bains.fr/|#https://www.hotel-des-bains.fr/,Accueil Vélo#France Vélo Tourisme|Vignobles & Découvertes#Label Vignobles & Découvertes|Qualité Tourisme#Qualité Tourisme|3 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/6/b047bb62-652d-33b4-b35f-ad83bc15c162,05 31 75 69 71
Logis Hotel le Grill,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,46.6864693,5.56387855,1055 boulevard de l'Europe,39000#Lons-le-Saunier,,,OFFICE DE TOURISME DE LONS LE SAUNIER ET SA REGION,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2026-01-05,#https://www.hotel-grill.com/<>https://www.facebook.com/Logis-H%C3%B4tel-Restaurant-Le-Grill-1612051859025217/,Qualité Tourisme#Qualité Tourisme|3 étoiles#Classement officiel des hébergements touristiques|Hôtel Essentiel#Logis,"Dans un cadre verdoyant, 40 chambres réparties sur 3 étages, 4 chambres familles pouvant accueillir un couple avec deux enfants.",https://data.datatourisme.fr/6/765f2476-af0f-3eeb-b93c-9cb8bd1a5fd4,05 18 59 02 52
Le Sauvage Hôtel Restaurant Spa,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,47.2318233,6.02774977,6 rue du Chapitre,25000#Besançon,,,OFFICE DE TOURISME ET DES CONGRES DU GRAND BESANCON,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2026-02-16,#https://www.facebook.com/profile.php?id=100063648608162<>https://www.instagram.com/lesauvage_hotelrestaurantspa/<>https://www.lesauvage-besancon.fr/|#https://www.facebook.com/profile.php?id=100063648608162<>https://www.lesauvage-besancon.fr/,4 étoiles#Classement officiel des hébergements touristiques,Hôtel Restaurant Spa de 24 chambres raffinées et tout confort dominant le quartier historique de Besançon.,https://data.datatourisme.fr/6/c698d9e7-3623-3586-807b-05caa4f9c6aa,06 36 48 60 81
Chalet adossé à la forêt,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#AccommodationProduct|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Product,46.96873,6.4648075,9b La Combe d'Hauterive Hauterive-La-Fresse,25650#Montbenoît,,,OFFICE DE TOURISME DU PAYS DU HAUT-DOUBS,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2026-02-02,#http://www.gite-hauterive.fr/<>https://www.facebook.com/profile.php?id=100057357464200,3 étoiles#Classement officiel des hébergements touristiques,Respirez l’authenticité du Haut-Doubs à la combe d’Hauterive à 1 100 mètres d'altitude dans un petit hameau adossé à la forêt,https://data.datatourisme.fr/6/b0c71c40-ce77-3bba-87a1-a63b5b87311d,05 73 57 46 42
Le Saint-Pierre,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,46.90544,6.35102,3 place Saint-Pierre,25300#Pontarlier,,,OFFICE DE TOURISME DU PAYS DU HAUT-DOUBS,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2026-02-05,#http://hotel-st-pierre-pontarlier.fr/<>https://fr-fr.facebook.com/pages/category/Restaurant/HOTEL-Restaurant-ST-Pierre-916100671832153/,Accueil Vélo#France Vélo Tourisme|3 étoiles#Classement officiel des hébergements touristiques|Accueil motards#Accueil motards,"Au cœur de la ville,  ce charmant hôtel  rénové et contemporain vous propose des chambres soignées et décorées avec goût.",https://data.datatourisme.fr/6/97a5dd46-5dcb-310e-9f33-2efe0ab3b298,06 71 83 21 53
Le Pré Oudot,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#AccommodationProduct|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Product|http://schema.org/BedAndBreakfast,47.0856244,6.55798807,1 le Pré Oudot,25390#Fournets-Luisans,,,COMMUNAUTÉ DE COMMUNES DES PORTES DU HAUT DOUBS,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2026-02-16,#http://www.le-pre-oudot.fr/|#http://www.le-pre-oudot.fr/<>https://www.facebook.com/Le-Pr%C3%A9-Oudot-281605935258952<>https://www.instagram.com/lepreoudot,5 épis / Luxury#Gîtes de France|Esprit parc national#Parcs Nationaux de France|Gîtes de France#Gîtes de France|Accueil motards#Accueil motards,Maison d'hôtes de charme dans une ferme comtoise traditionnelle du 17ème siècle au cœur de la nature.,https://data.datatourisme.fr/6/62ff560f-1a7b-3d16-b9a3-ee0621a7ae46,05 93 52 58 95
Le Parc,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#AccommodationProduct|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Product,46.9501921,5.87152019,44 / 46 avenue A. Briand,39110#Salins-les-Bains,,,OFFICE DE TOURISME ARBOIS-POLIGNY-SALINS CŒUR DU JURA,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2024-01-15,#http://domainedescapucins.com/<>https://www.facebook.com/Domaine-des-Capucins-968046409907433/?__tn__=kC-R&eid=ARCj6K6yXo8AYQLhHh9fZ_59AbArWi2rXN2ivxJ2phRPb544edYDQGEAofexpi7UgxwAluKdcp378_j_&hc_ref=ARTisi8yvjQtCTizSw5jsusJaEptveUFYufek8nheKi8zq-YtVayabOqxz-w1Sz7NB4&__xts__[0]=68.ARBYaPlvYxsKD_GX_oeqheCJSn3iBbOXh91Z3UiBGw6268FThZkcBC4wLDgST9FHLez5X1oDmDcm2Fjc8cptRNskbDof1SUX-fqL7SErDpTXx_02Rwnbo9w2UwAPSHMNS8KrBMZ7dTIb5kMGlMdWZBXkEzigeFCbN7Fl7oN26fyMteqQg2kikzZoAOYvjagm7IZoYBwCqdKa8vM,3 étoiles#Classement officiel des hébergements touristiques,"Situé dans une maison de caractère, le studio Le Parc offre une vue sur le parc très agréable. Il est situé à 1km des thermes.",https://data.datatourisme.fr/6/23684a8d-ab00-33e4-b919-0951006f70b7,04 64 09 90 74
La Faïencerie,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#AccommodationProduct|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Product,46.9499253,5.87133407,44 / 46 avenue A. Briand,39110#Salins-les-Bains,,,OFFICE DE TOURISME ARBOIS-POLIGNY-SALINS CŒUR DU JURA,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2025-12-29,#http://www.domainedescapucins.com/<>https://www.facebook.com/Domaine-des-Capucins-968046409907433/?__tn__=kC-R&eid=ARCj6K6yXo8AYQLhHh9fZ_59AbArWi2rXN2ivxJ2phRPb544edYDQGEAofexpi7UgxwAluKdcp378_j_&hc_ref=ARTisi8yvjQtCTizSw5jsusJaEptveUFYufek8nheKi8zq-YtVayabOqxz-w1Sz7NB4&__xts__[0]=68.ARBYaPlvYxsKD_GX_oeqheCJSn3iBbOXh91Z3UiBGw6268FThZkcBC4wLDgST9FHLez5X1oDmDcm2Fjc8cptRNskbDof1SUX-fqL7SErDpTXx_02Rwnbo9w2UwAPSHMNS8KrBMZ7dTIb5kMGlMdWZBXkEzigeFCbN7Fl7oN26fyMteqQg2kikzZoAOYvjagm7IZoYBwCqdKa8vM,3 étoiles#Classement officiel des hébergements touristiques,"Situé dans une maison de caractère, le studio La Faïencerie offre une superficie de 23 m².",https://data.datatourisme.fr/6/811a90d3-af33-345e-8b00-d5dac7a05d14,04 64 09 90 74
Hostellerie de la Poste,https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel|https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant,47.4597952,3.5214545,9 Place Emile Zola,58500#Clamecy,,,Nièvre Attractive,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2026-01-01,#http://www.hostelleriedelaposte.fr/<>https://www.facebook.com/Hostellerie-de-La-Poste-360285690656213/<>https://www.booking.com/hotel/fr/hostellerie-de-la-poste-clamecy.fr.html|#http://www.hostelleriedelaposte.fr/<>https://www.booking.com/hotel/fr/hostellerie-de-la-poste-clamecy.fr.html,Qualité Tourisme#Qualité Tourisme|3 étoiles#Classement officiel des hébergements touristiques|Hôtel Cosy#Logis,"Au cœur de Clamecy, cet ancien relais de poste vous séduira par son charme et la cuisine du terroir jeune et inventive de son chef.",https://data.datatourisme.fr/6/f5d6ef3b-669f-3f83-b0df-ed3075275dd4,02 85 69 06 56
Ibis Centre-Ville,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,47.240418,6.026073,21 rue Gambetta,25000#Besançon,,,OFFICE DE TOURISME ET DES CONGRES DU GRAND BESANCON,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2026-01-13,#https://www.accorhotels.com/fr/hotel-1364-ibis-besancon-centre-ville/index.shtml#origin=ibis<>https://twitter.com/ibishotels_fr<>https://www.facebook.com/ibis-Besan%C3%A7on-Centre-Ville-217700604972878/?fref=ts<>https://www.youtube.com/channel/UCSTqLWSiYohEs3DjCHeH6Cw|#https://www.accorhotels.com/fr/hotel-1364-ibis-besancon-centre-ville/index.shtml#origin=ibis<>https://www.facebook.com/ibis-Besan%C3%A7on-Centre-Ville-217700604972878/?fref=ts,Accueil Vélo#France Vélo Tourisme|Qualité Tourisme#Qualité Tourisme|3 étoiles#Classement officiel des hébergements touristiques|Accueil motards#Accueil motards,Une équipe aux petits soins vous attend pour vous faire partager notre passion du métier.,https://data.datatourisme.fr/6/5afac46e-3c18-387f-afc7-7c10be6630ab,06 04 97 28 78
