"","2023/2024","2024/2025","2025/2026"
"Août 1","4,97","19,90","13,74"
"2","13,57","26,87","27,62"
"3","16,22","32,27","36,48"
"4","23,03","39,63","39,88"
"Septembre 5","28,96","59,18","53,94"
"6","37,18","84,92","65,39"
"7","49,42","103,71","77,42"
"8","70,32","130,19","92,49"
"9","79,89","147,95","109,81"
"Octobre 10","88,48","163,97","118,63"
"11","104,28","180,69","132,12"
"12","109,28","193,84","142,46"
"13","114,07","211,17","147,69"
"Novembre 14","119,81","222,69","150,92"
"15","140,96","244,73","172,14"
"16","159,01","266,09","194,23"
"17","178,76","315,32","236,81"
"Décembre 18","220,28","414,45","290,43"
"19","264,59","487,40","418,48"
"20","329,64","572,49","536,95"
"21","450,23","677,31","701,05"
"22","450,23","680,97","730,19"
"Janvier 23","476,63","708,05","730,19"
"24","550,00","770,09","907,54"
"25","607,85","831,75","1010,73"
"26","682,96","903,71","1107,22"
"Février 27","743,14","1040,72",""
"28","827,57","1153,53",""
"29","926,01","1262,94",""
"30","1055,59","1348,18",""
"Mars 31","1197,02","1396,33",""
"32","1303,39","1500,03",""
"33","1404,04","1558,47",""
"34","1468,84","1608,39",""
"35","1535,49","1646,82",""
"Avril 36","1577,32","1688,88",""
"37","1604,26","1726,18",""
"38","1629,19","1747,20",""
"39","1654,13","1761,11",""
"Mai 40","1685,65","1767,14",""
"41","1692,25","1779,10",""
"42","1710,11","1790,13",""
"43","1723,60","1798,76",""
"Juin 44","1745,32","1810,95",""
"45","1770,42","1831,90",""
"46","1789,73","1854,96",""
"47","1807,60","1862,90",""
"48","1827,60","1888,12",""
"Juillet 49","1846,11","1904,35",""
"50","1865,54","1916,11",""
"51","1875,53","1923,15",""
"52","1882,35","1942,80",""
