"","2023/2024","2024/2025","2025/2026"
"Août 1","1,50","2,19","4,54"
"2","6,01","5,01","6,92"
"3","6,79","12,14","11,06"
"4","14,62","16,95","22,85"
"Septembre 5","17,47","25,88","27,64"
"6","19,46","33,55","36,31"
"7","26,20","42,17","44,12"
"8","31,71","51,71","51,65"
"9","36,91","57,25","72,34"
"Octobre 10","41,51","71,83","80,19"
"11","45,24","78,53","92,88"
"12","54,11","92,48","111,78"
"13","56,73","99,93","129,22"
"Novembre 14","61,74","104,77","142,12"
"15","67,42","117,93","159,14"
"16","71,69","128,41","167,78"
"17","92,95","150,69","203,18"
"Décembre 18","100,58","179,52","219,85"
"19","115,76","196,45","237,74"
"20","130,94","228,13","263,81"
"21","155,17","252,09","312,31"
"22","162,42","255,45","335,11"
"Janvier 23","165,37","260,94","335,32"
"24","194,32","283,57","352,80"
"25","219,03","306,57","371,95"
"26","255,20","330,18","406,26"
"Février 27","273,17","345,35",""
"28","297,25","379,01",""
"29","309,00","413,51",""
"30","328,34","424,99",""
"Mars 31","342,22","435,09",""
"32","360,89","454,33",""
"33","367,13","471,27",""
"34","376,20","486,87",""
"35","394,24","506,49",""
"Avril 36","398,66","513,72",""
"37","407,69","530,68",""
"38","416,07","540,49",""
"39","422,31","554,19",""
"Mai 40","429,17","562,06",""
"41","433,64","568,15",""
"42","439,66","574,34",""
"43","448,19","583,03",""
"Juin 44","459,50","588,94",""
"45","466,41","595,40",""
"46","471,94","607,25",""
"47","476,08","620,73",""
"48","483,34","628,12",""
"Juillet 49","495,74","630,95",""
"50","502,54","632,73",""
"51","511,18","652,95",""
"52","513,90","658,40",""
