"","2023/2024","2024/2025","2025/2026"
"Août 1","3,07","18,90","12,97"
"2","9,98","24,99","24,32"
"3","11,48","30,25","31,76"
"4","18,19","35,49","34,47"
"Septembre 5","23,69","54,33","45,82"
"6","30,76","75,41","54,02"
"7","42,19","91,84","63,42"
"8","58,34","111,99","74,88"
"9","67,11","124,12","86,98"
"Octobre 10","75,16","139,01","93,45"
"11","88,42","153,19","101,56"
"12","93,13","163,68","110,86"
"13","97,42","175,59","115,60"
"Novembre 14","102,85","183,60","117,38"
"15","121,61","202,26","137,36"
"16","137,83","217,40","156,08"
"17","155,15","254,42","191,90"
"Décembre 18","189,36","342,98","231,76"
"19","225,41","409,34","348,08"
"20","278,74","490,21","462,23"
"21","387,71","575,62","601,76"
"22","387,71","575,62","626,37"
"Janvier 23","407,73","602,83","626,37"
"24","466,38","655,66","792,88"
"25","511,29","709,81","887,29"
"26","575,97","776,23","974,59"
"Février 27","633,07","901,76",""
"28","706,19","1007,89",""
"29","793,50","1103,50",""
"30","918,33","1182,84",""
"Mars 31","1041,86","1226,53",""
"32","1137,78","1319,81",""
"33","1228,79","1375,17",""
"34","1288,96","1423,06",""
"35","1350,81","1456,31",""
"Avril 36","1387,74","1493,76",""
"37","1413,29","1527,59",""
"38","1435,69","1547,09",""
"39","1455,91","1555,10",""
"Mai 40","1486,05","1560,09",""
"41","1491,94","1570,21",""
"42","1507,91","1580,99",""
"43","1519,98","1588,56",""
"Juin 44","1538,57","1598,64",""
"45","1561,35","1615,89",""
"46","1579,48","1636,77",""
"47","1593,76","1643,16",""
"48","1608,86","1663,48",""
"Juillet 49","1626,91","1676,78",""
"50","1644,20","1687,54",""
"51","1652,76","1691,67",""
"52","1657,01","1705,21",""
