Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Periodes_regroupees,Covid19_mesures_specifiques,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Aux Ecuries de Gillot,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-20.8920646,55.5095265,"20, rue Georges Guynemer - Gillot",97438#Sainte-Marie,,,Soubik,ADT Réunion,2019-10-10,Aux Ecuries de Gillot#,,,https://data.datatourisme.fr/54/295b9344-578a-35f3-84c0-124dfbdd7a11
P'tit Case la Montagne,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-20.889079,55.422697,"7, chemin Bailly PK 8",97417#Saint-Denis,,,Soubik,ADT Réunion,2019-10-10,P'tit Case la Montagne#,,,https://data.datatourisme.fr/54/2979465c-db09-3231-9991-3fde7b8f98b1
Roche Merveilleuse (La),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#StopOverOrGroupLodge|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.13222546,55.47444514,"1, rue des Platanes",97413#Cilaos,,,Soubik,ADT Réunion,2023-06-26,Roche Merveilleuse (La)#http://roche-merveilleuse.allonslareunion.com/,,,https://data.datatourisme.fr/54/2979d4aa-2568-3383-8925-eeb33b6576f3
Resto-Self Futura,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,-20.895,55.473651,"190, rue des 2 Canons - Immeuble Futura",97490#Saint-Denis,,,Soubik,ADT Réunion,2019-10-10,Resto-Self Futura#,,,https://data.datatourisme.fr/54/2a00db75-2cfc-3708-89c0-9d183d905619
Quad du Maïdo,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#NaturalHeritage|http://schema.org/Landform,-21.053391,55.357007,Maïdo 1500 - Route du Maïdo,97423#Saint-Paul,,,Soubik,ADT Réunion,2019-10-10,Quad du Maïdo#,,,https://data.datatourisme.fr/54/2a10921c-c696-3e98-9269-988add3f97c6
Appart Alizé,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.09341,55.237827,"8, rue des Dodos - Rés. les Veloutiers - Bât. A - Apt n°7",97434#Saint-Paul,,,Soubik,ADT Réunion,2019-10-10,Appart Alizé#http://www.appartalize.com/,,,https://data.datatourisme.fr/54/2a37b207-81d6-3d74-aec2-281b1c978b7f
Mimosas (Les),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#TableHotes|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-21.14227854,55.48946877,"29, chemin Saül - Bras Sec -",97413#Cilaos,,,Soubik,ADT Réunion,2019-10-10,Mimosas (Les)#http://lesmimosas.fr/,,,https://data.datatourisme.fr/54/2a8ff4e7-5bb7-370c-9648-04181571e615
Alpha Ulm,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#LeisureSportActivityProvider,-20.964105,55.281506,Base Ulm de Cambaie - Rue Pierre Henry Cornue,97460#Saint-Paul,,,Soubik,ADT Réunion,2019-10-10,Alpha Ulm#http://www.alphaulm.com/,,,https://data.datatourisme.fr/54/2abdaea1-cc76-36b6-abd7-395170f319bc
Rosie And John,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-20.936431,55.309239,Boulevard des Mascareignes - Zac Belvédère,97420#Le Port,,,Soubik,ADT Réunion,2019-10-10,Rosie And John#,,,https://data.datatourisme.fr/54/2ad54d22-8945-3fff-962c-dadc1e8d8ae9
Instant PLaisirs (L'),https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,-21.13472,55.470925,"28, rue du Père Boiteau",97413#Cilaos,,,Soubik,ADT Réunion,2019-10-10,Instant PLaisirs (L')#,,,https://data.datatourisme.fr/54/2af6df8c-e203-32b6-aaf6-7571b541e5af
