Formule,Prix HT / AN,Inclusions,Détails des Services
VISIBILITÉ,188 €,"-",Visibilité (my-happyhouse.com) / Réservation directe / Label Happy House Lieu Waouh / Application mobile / Centrale d'achat / Comité d'entreprise / Parrainage (10%) / Service HTA à 8%
PREMIUM,300 €,VISIBILITÉ,Visibilité + (cosy-places.com) / App Mobile PREMIUM (Relation clients & Data) / Service HTA à 5% / Tarif garanti à vie / Exclusivité (1.5%) / Bonus (News conseil) / Fidélité
PRESTIGE,450 €,PREMIUM,Service HTA à 2% / Promotion Boostée
WAOUH !,675 €,PRESTIGE,Service HTA à 0% / Expertise Personnalisée / Accès aux Partenaires
