Formule,Prix HT / AN,Visibilité (Web),Réservation directe,Label Happy House,App Mobile,Centrale d'achat,Comité d'entreprise,Parrainage (10%),Service HTA (%),Visibilité + (Cosy Places),App Mobile PREMIUM,Tarif garanti à vie,Exclusivité (1.5%),Bonus (News),Fidélité,Promotion Boostée,Expertise Personnalisée,Accès Partenaires
VISIBILITÉ,188 €,Inclus,Inclus,Inclus,Standard,Inclus,Inclus,Inclus,8%,-, -, -, -, -, -, -, -, -
PREMIUM,300 €,Inclus,Inclus,Inclus,PREMIUM,Inclus,Inclus,Inclus,5%,Inclus,Inclus,Inclus,Inclus,Inclus,Inclus, -, -, -
PRESTIGE,450 €,Inclus,Inclus,Inclus,PREMIUM,Inclus,Inclus,Inclus,2%,Inclus,Inclus,Inclus,Inclus,Inclus,Inclus,Inclus, -, -
WAOUH !,675 €,Inclus,Inclus,Inclus,PREMIUM,Inclus,Inclus,Inclus,0%,Inclus,Inclus,Inclus,Inclus,Inclus,Inclus,Inclus,Inclus,Inclus
